Application,Timestamp,Description,Dimensions,Reference Frame,Proximity,Target Type,Interactor,Indication,Confirmation,Outcome
Fallout 4 VR,https://youtu.be/SbePRUsFFdM?t=2348,3. Attack enemies by hitting them with weapons,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Fallout 4 VR,https://youtu.be/Mv9vJ3PHr4A?si=KRiucwQjZwFoZwBV&t=497,4. Aim and shoot with weapons,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Fallout 4 VR,https://youtu.be/Mv9vJ3PHr4A?si=zkaQVGrxJCfNC4dd&t=1309,5. Throw molotov,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Meta Horizon Worlds Editor,https://youtu.be/0m63U1YCiyI?t=502,1. Select menu item from a 2D UI from a distance by pointing with ray and clicking,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Meta Horizon Worlds Editor,https://youtu.be/0m63U1YCiyI?t=529,2. Grasp an object in 3D (with a pointer attached to hand),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Meta Horizon Worlds Editor,https://youtu.be/0m63U1YCiyI?si=dAyNsaGbPJgpQvcS&t=1104 ,3. Select several objects by touching them,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Meta Horizon Worlds Editor,https://youtu.be/0m63U1YCiyI?t=1967,4. Type text by directly pressing the buttons,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Meta Horizon Worlds Editor,https://youtu.be/0m63U1YCiyI?si=TZqFhjSfzbHTxaMf&t=446,5. Grab object/menu with second hand to enable scaling mode,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Meta Horizon Worlds Editor,https://youtu.be/0m63U1YCiyI?si=rfou2ddKETiF6FEu&t=1328,6. On-hand touch buttons,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Automatic,System control
Meta Horizon Worlds Editor,https://youtu.be/0m63U1YCiyI?si=owBCn2MtP8TCNy4i&t=1400,7. Discrete manipulation of slider,2D,Environment,Extrapersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Tilt Brush (Google),https://youtu.be/lW0TUyFh9zQ?t=16 ,1. Select from an on hand UI ,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Tilt Brush (Google),https://youtu.be/lW0TUyFh9zQ?t=168 ,5. Select from a UI that is environment referenced close to the user,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Tilt Brush (Google),https://youtu.be/lW0TUyFh9zQ?t=205 ,6. Select from a circular UI near the user,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Release,System control
Tilt Brush (Google),https://youtu.be/lW0TUyFh9zQ?t=698 ,8. Select objects in the VE through grasp,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Tilt Brush (Google),https://youtu.be/lW0TUyFh9zQ?t=670 ,10. Touch objects to delete them,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
SculptVR,https://youtu.be/SE1fqivtoT0?t=95,1. Point to tools on 2D UI panel,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
SculptVR,https://youtu.be/LG4OFRGSoOw?t=182,2. Point to an object and hold to select it,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
SculptVR,https://youtu.be/uaMySvfTWMA?t=10,3. Select multiple objects with a bounding volume,3D,Environment,Peripersonal,3D Object,Virtual hand,Enclosing,Analog - Release,System control
SculptVR,https://youtu.be/hW8UwxW8pbs?si=Jho36fiMZUxgaFLd&t=364,4. Point to env-referenced 2D UI panel,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Gravity Sketch,https://youtu.be/2YZr3yqWXzk?si=4kYz0V236MjSNxJJ&t=60,1. Select from an on hand UI,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Gravity Sketch,https://youtu.be/2YZr3yqWXzk?si=GDA6h7McWPeHmx-D&t=67,2. Grasp object from on-hand UI,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Gravity Sketch,https://youtu.be/2YZr3yqWXzk?si=i9O2N91fpT05lisr&t=2013,3. Insert layer into an inventory position,2D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Gravity Sketch,https://youtu.be/2YZr3yqWXzk?si=W0U5I4uDKZpI3XzP&t=68,4. Insert an item into a box,3D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Gravity Sketch,https://youtu.be/2YZr3yqWXzk?si=nQf-YfKs_hf6veDV&t=108,6. Selection of buttons on a keyboard by pointing,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Gravity Sketch,https://youtu.be/2YZr3yqWXzk?si=rNVgEw84BloqVhlh&t=284,8. Selection of VE objects through grasp,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Gravity Sketch,https://youtu.be/2YZr3yqWXzk?si=xS7D3dZfwSL8ttM1&t=1181,11. Selection of tools from a circular inventory around user,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Tvori,https://youtu.be/Dm8liB5hsvI?si=JJM765Mbvl3lGuMS&t=3,1. Directly grab objects in environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Tvori,https://youtu.be/nC4cb4tZ4m8?si=FdMyT6PFRe6T990J&t=49,2. Touch multiple objects consecutively while holding a button to select multiple,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Tvori,https://youtu.be/Dm8liB5hsvI?t=12,3. Select from a closeby UI to the user,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Tvori,https://youtu.be/2a9zpGklAJ8?si=QVryOLxZ35h2iJms&t=704,4. Grab object with second hand to enable scaling,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Tvori,https://youtu.be/Dm8liB5hsvI?si=SYWryN2xIQPmmtm1&t=47 ,5. Analog hold and dwell to open object settings,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Dwell,System control
Tvori,https://youtu.be/Dm8liB5hsvI?t=48,6. Select from a small circular UI ,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Tvori,https://youtu.be/2a9zpGklAJ8?si=P_RWHIAV2XyfHVJz&t=523,"7. ""Orb select"" to specify a bounding volume",3D,Environment,Peripersonal,3D Object,Virtual hand,Enclosing,Analog - Release,System control
Tvori,https://youtu.be/J5MuZQPBDi0?si=0eeBSXa7VBYSbSmL&t=137,8. Touch keyboard keys for text input,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Tvori,https://youtu.be/Dm8liB5hsvI?si=IKEjRMOAFKHcjGQQ&t=59,9. Link one object to another through inventory-like behavior with insert,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Click,System control
AnimVR,https://youtu.be/dA2VjzBv5yE?si=QyMOj3n87Bte43IH&t=34,1. Select from a UI,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
AnimVR,https://youtu.be/5vPXANBdmV8?si=yphms3M8624RqrHh&t=124,2. Directly grab an object,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
AnimVR,https://youtu.be/5vPXANBdmV8?si=Z_QdfaDhQKDHdBlW&t=43,3. Touch keyboard keys to input text,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
AnimVR,https://youtu.be/-o1sV4xlqJQ?t=374 ,5. Grasp object with second hand to enable scaling,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
AnimVR,https://youtu.be/50foPhN1lHE?t=7 ,8. Select from an on hand UI ,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Mindshow,https://youtu.be/4tibmHgBYqg?t=19,1. Selecting from a 2D UI menu alike,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Mindshow,https://youtu.be/4tibmHgBYqg?t=146,2. Select from a 2D UI that is on-hand,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Mindshow,https://youtu.be/4tibmHgBYqg?t=195,4. Select 3D objects at a distance with a ray,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Mindshow,https://youtu.be/4tibmHgBYqg?t=488,5. Select 3D objects using grasp directly from the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Mindshow,https://youtu.be/4tibmHgBYqg?t=1025,7. Select text input on a 2D UI Keyboard,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Unreal Engine VR Mode,https://youtu.be/JKO9fEjNiio?si=UqSKEW9SncVdPQVK&t=19,1.Selection of VE objects by pointing at them and clicking,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Unreal Engine VR Mode,https://youtu.be/JKO9fEjNiio?si=RvuRtLrEFZBGyIoP&t=24,"2. Select gizmos on an object to ""acquire"" it",3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Unreal Engine VR Mode,https://youtu.be/JKO9fEjNiio?si=ZmOhPip1cLe52x65&t=29,3. Grasp object with two hands,3D,Hand,On-Body,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Unreal Engine VR Mode,https://youtu.be/JKO9fEjNiio?si=OOj3w-P_oBujZnQY&t=64,4. Select from a UI on hand,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Blocks (Google),https://youtu.be/g3Ek9Kka2oI?t=75 ,1. Select by pointing to an on-hand UI,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Blocks (Google),https://youtu.be/AcU1MaR5GaU?t=503 ,2. Select objects in the VE through grasp,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Blocks (Google),https://youtu.be/j1zJLPPiJpw?t=122 ,6. Touch multiple objects to select or color them,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Medium (Adobe),https://youtu.be/x1qKE0J-4QQ?si=c9bMw3xb1Kte2zwq&t=757,"1. Select gizmo to ""acquire"" object and start manipulating it",3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Medium (Adobe),https://youtu.be/qnTvoAzxnbM?si=j6lASYOnPvOsj1gU&t=143,3. Select UIs attached to the hand,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Medium (Adobe),https://youtu.be/qnTvoAzxnbM?si=s2AUKRfHoAipfasL&t=1454 ,5. Select a component of the model via pointing,3D,Environment,Peripersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Medium (Adobe),https://helpx.adobe.com/medium/using/manipulate-nodes-medium.html#:~:text=Squeeze%20both%20Grip%20buttons%20and%20move%20the%20controllers%20toward%20or%20away%20from%20each%20other%20to%20scale%20the%20layer,6. Grab an already acquired object with second hand to enable scaling,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Masterpiece Studio Pro,https://youtu.be/Da27x64roQQ?si=YH6Zbb5CUlz_3w4x&t=9,1. Selection from a UI around the hand by pointing,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Masterpiece Studio Pro,https://youtu.be/odFO1WDsalk?si=wpNuFTwd_kUDv9Y4&t=249,2. Point to static text and other UI buttons,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Masterpiece Studio Pro,https://www.youtube.com/watch?v=odFO1WDsalk&t=1932s,5. Directly grab an object in environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Masterpiece Studio Pro,https://youtu.be/Da27x64roQQ?si=xwPKNz0zNMEEEbRC&t=2221,6. Grab the object with second hand to enable scaling,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Kodon,https://youtu.be/vbsFG3bih5c?si=zZ419wW3bvLjPLDV&t=258,1. Select from a UI in the environment,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Kodon,https://youtu.be/vbsFG3bih5c?si=sFb07b22iJlpHAnO&t=364,2. Directly grab object in environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Kodon,https://youtu.be/vbsFG3bih5c?si=3GFsj1o3Q7uyKIcO&t=73,3. Point and click to acquire object in application,3D,Environment,Peripersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Kodon,https://youtu.be/vbsFG3bih5c?si=p7TFUPHu01MZfnKe&t=377,4. Grab an object with a second hand to enable scaling,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Kingspray Graffiti,https://youtu.be/NceDJglm1OM?t=279 ,1. Select from an on hand UI,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Kingspray Graffiti,https://youtu.be/NceDJglm1OM?t=460 ,2. Select objects in the VE through grasping,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Kingspray Graffiti,https://youtu.be/NceDJglm1OM?t=508 ,3. Select from a UI at a distance ,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
SoundStage,https://youtu.be/ycVlSW8PwHo?t=39,1. Touch a UI and hold to spawn a held object,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
SoundStage,https://youtu.be/ycVlSW8PwHo?si=8NXmgjNBGuVcdCy7&t=150,2. Touch a UI and click to spawn an object,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Click,System control
SoundStage,https://youtu.be/ycVlSW8PwHo?t=57,3. Intersect with object to select it,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
SoundStage,https://youtu.be/ycVlSW8PwHo?si=52pdbbYQswU8Rsws&t=492,4. Directly grab an object in VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
SoundStage,https://youtu.be/ycVlSW8PwHo?si=uwKl1dW6rwaqlNgH&t=78,5. Insert object into a slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
SoundStage,https://youtu.be/ycVlSW8PwHo?t=123,6. Turn on/off a switch,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Mindesk,https://youtu.be/_kdZudCAXmg?t=39 ,1. Select from an on hand UI ,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Mindesk,https://youtu.be/_kdZudCAXmg?t=90 ,2. Point to a VE object and click to select,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Mindesk,https://youtu.be/_kdZudCAXmg?t=169 ,3. Select a drawn stroke on a board,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Mindesk,https://youtu.be/hjN6HIWE6Tw?si=Z5ZqFI3B8YjUC7sn&t=50,4. Intersect + click to grab an object,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Mindesk,https://youtu.be/hjN6HIWE6Tw?si=MpHwBuAJ42EzIlkF&t=76,5. Touch and click on on-hand UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Mindesk,https://youtu.be/hjN6HIWE6Tw?si=Kny8vJHq27Xr8eoW&t=4,8. Multi-object selection through touching,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Open Brush,https://youtu.be/V5dV-q2jf7o?si=DMpQBX5o-M7AT2q2&t=33,1. Selection from an on-hand UI panel by pointing,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Open Brush,https://youtu.be/vUWaFcoFpbU?si=Q-7q3i_V5NXFxrgJ&t=13,2. Multi-object selection through touching,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Open Brush,https://youtu.be/vUWaFcoFpbU?si=EiBSqLUrdq1QMk9Y&t=32,4. Grasping objects in VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Open Brush,https://youtu.be/LCbpzoMSboU?si=s6aNjZual5luvCN4&t=249,5. Selection from UI close to user,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Quill,https://youtu.be/1SMuD7yx8Hg?si=VduU4eqSKYJp0zoL&t=31,1. 2D UI attached to hand,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
Quill,https://youtu.be/a1qKaJMOASI?t=38,2. These UIs can also be detached from the hand and become environment-referenced,2D,Environment,Extrapersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Quill,https://youtu.be/FJ96JUaTMUk?si=zR-0mmxFvfHVtOxi&t=12,3. Directly grab an object,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Quill,https://youtu.be/DuAgPdVlf10?si=xm9lL1J7ZUJjZnbc&t=108,4. Directly grab with second hand to enable scaling,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Quill,https://youtu.be/DuAgPdVlf10?t=24,5. Select multiple objects by touching with a resizable ball cursor selection tool while holding down trigger button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
ShapesXR,https://youtu.be/n0B-uYQjLO4?t=16 ,1. Select from an on hand UI,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
ShapesXR,https://youtu.be/hR0IYRPna3o?si=1ei-erUYXuKni_XU&t=112,3. Select multiple objects with a bounding volume,3D,Environment,Peripersonal,3D Object,Virtual hand,Enclosing,Analog - Release,System control
ShapesXR,https://youtu.be/LCoeaDTWLDY?t=231 ,4. Select objects in the VE ,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
ShapesXR,https://youtu.be/hR0IYRPna3o?si=a2dSthU05vnE_0wM&t=70,8. Select multiple objects through touch,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
ShapesXR,https://youtu.be/kofAtyA4X64?t=60 ,12. Select from a keyboard UI,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Substance 3D Modeler,https://youtu.be/HB9DtGnZO4g?t=11,2. Select componenets of a virtual object (character),3D,Environment,Peripersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Vermillion,https://youtu.be/0gyO0dT9EzU?si=ezxoZktV_wuhyaDS&t=94,1. Selection from an env referenced UI by pointing,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Vermillion,https://youtu.be/0gyO0dT9EzU?si=Ad64mLBwOqXXAPmh&t=192,2. Picking up objects in VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Vermillion,https://youtu.be/4TsX0eSy9gw?si=R5e8KU_2veB6eaBU&t=47,4. Manipulate a Pivot next to canvas to adjust it's dimensions,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Vermillion,https://youtu.be/0gyO0dT9EzU?si=JTO0-L40lO899LYs&t=141,5. Touch and dwell over the canvas to create it,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Dwell,System control
Vermillion,https://youtu.be/0gyO0dT9EzU?si=HtJtv5PKxmcTBzQr&t=196,7. Insert brushes into slots near player,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Vermillion,https://youtu.be/0gyO0dT9EzU?si=bQziLd5hcSWWNEl7&t=287,8. Grasp and hold trigger on a UI,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Vermillion,https://youtu.be/0gyO0dT9EzU?si=lew4Z9nq1L_dX3z9&t=376,9. Grab an object from environment inventory,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Painting VR,https://youtu.be/0hYoHvPD-Tg?t=95 ,1. Grasp items directly from the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Painting VR,https://youtu.be/7oW8e39-RjA?t=198 ,2. Select objects from a distance,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Painting VR,https://youtu.be/0hYoHvPD-Tg?t=137 ,3. Touch the paint with paint roller,3D,Hand,On-Body,3D Object,Handheld object,Intersecting,Automatic,System control
Painting VR,https://youtu.be/7oW8e39-RjA?t=30 ,4. Select from a 2D UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Painting VR,https://youtu.be/7oW8e39-RjA?t=102 ,5. Insert an item (brush) into place where the item will be held,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Painting VR,https://youtu.be/7oW8e39-RjA?t=251 ,6. Select with an electric magnetic tool gun another object,3D,Hand,On-Body,3D Object,Handheld object,Intersecting,Analog - Release,Acquisition
Holopoint,https://youtu.be/79m4PQmNJiE?t=12,1. Grab an object in front of user,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Holopoint,https://youtu.be/79m4PQmNJiE?t=31,2. Aim and shoot at targets,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Aiming - Shooting,Analog - Release,System control
Holopoint,https://youtu.be/79m4PQmNJiE?t=357,3. Select from UI with a ray,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Gravity Lab,https://youtu.be/7AWzbpi1440?t=86,1. Intersect and click to select UI,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Gravity Lab,https://youtu.be/7AWzbpi1440?t=208,2. Select from an on hand UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Gravity Lab,https://youtu.be/7AWzbpi1440?t=240,3. Grab a close object from the environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Gravity Lab,https://youtu.be/7AWzbpi1440?t=3233,4. Touch-based 2D UI,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Gravity Lab,https://youtu.be/7AWzbpi1440?si=uMxP5MuVpllymRTO&t=4891,5. Insert item into an environment slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Virtual Virtual Reality,https://youtu.be/pAcWiKKItik?t=54,1. Point and hold trigger to acquire object,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,Acquisition
Virtual Virtual Reality,https://youtu.be/pAcWiKKItik?si=dXENk7Zz3fQqlg_L&t=874,2. Remove the headset by directly grabbing it from the head,3D,Head,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Virtual Virtual Reality, https://youtu.be/pAcWiKKItik?t=622 ,3. Select objects to vacuum by dwelling over them,3D,Environment,Extrapersonal,3D Object,Handheld object,Intersecting,Dwell,System control
Virtual Virtual Reality,https://youtu.be/pAcWiKKItik?t=751,4. Select from 2D UI with ray,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Virtual Virtual Reality,https://youtu.be/pAcWiKKItik?si=eWSdVIFYgNbzQaqU&t=1530,6. Set lever into one of discrete positions,3D,Environment,Extrapersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Virtual Virtual Reality,https://youtu.be/pAcWiKKItik?t=3068,7. Point and click on a 3D object to activate it,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=6PeI58jRn2mAyisC&t=535,1. Grab an object with hand,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=P28QUNUhmym22bxP&t=143,2. Snap a remote object,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=gPwQNlIKhVd0-O0T&t=114,4. Point and select UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=9-q5b4fZLpEb3wkD&t=124,5. Press on the on-arm button,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=3GLyuhILj8xdFTtw&t=138,6. 2D button on the wall,2D,Environment,Extrapersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=i7fL8t5XDUNMaF1T&t=182,7. Pull the handle,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=1B9m1r6lBYjGuky2&t=7662,8. Cut stuff with a saber,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=42qx9xWxq3BT4PFy&t=447,9. Pointing selection with some dweling,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Dwell,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=i10H-tGwSHXM3ick&t=708,10. Touch to un-nail the nail,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Dwell,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=mWIf4r-DDz7msrQV&t=740,11. Shooting,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=cBC5xbgetviXvcgp&t=1434,12. Insert cable a put it into a plug,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
