app,date,platform,link,scenario,ui,speed,num,max_num,unique,shape,size,distance,static,arrangement,rf,direction,occlusion,is_mechanic,selection_technique,hover,feedback,locomotion,X,Y,color
OhShape,October 2019,"Oculus, SteamVR, PSVR, Viveport",https://youtu.be/B3VQftJw8M0?t=207,1. Selection of 2D buttons from a far off menu UI,yes,accuracy,10-19,20+,yes,2D buttons,large,extrapersonal,static,grid,env,center,none,no,point,yes,yes,no,17.111063,5.4778986,purple
OhShape,October 2019,"Oculus, SteamVR, PSVR, Viveport",https://youtu.be/B3VQftJw8M0?t=229,2. Selecting specific areas of the wall by touch,no,equal,3-9,3-9,no,areas highlighted in approaching walls,medium,peripersonal,moving,random,env,both,heavy,yes,touch,no,yes,yes,1.48889,43.473934,yellow
OhShape,October 2019,"Oculus, SteamVR, PSVR, Viveport",https://youtu.be/B3VQftJw8M0?t=235,3. Selection of in game coins by pushing them,no,equal,3-9,3-9,no,floating coins ,medium,peripersonal,moving,random,env,both,heavy,yes,push,no,yes,yes,33.747715,8.43714,brown
Star Trek: Bridge Crew,May 2017,"SteamVR, Oculus, PSVR",https://youtu.be/JwBk3LnIcRo?t=39,1. Selection of a panel UI elements,yes,equal,3-9,3-9,yes,rectangle,medium,peripersonal,static,list,env,both,minimal,no,touch,no,yes,no,0.78233594,46.92896,yellow
Espire 1: VR Operative,November 2019,"SteamVR, Oculus, PSVR",https://youtu.be/u6BJT_BlUUY?t=150,1. Directly grasp items from the VE,no,equal,1-2,3-9,no,weapons,medium,peripersonal,static,random,env,both,minimal,yes,grasp,no,yes,yes,-12.343143,-28.806099,orange
Espire 1: VR Operative,November 2019,"SteamVR, Oculus, PSVR",https://youtu.be/u6BJT_BlUUY?t=259,2. Select from a confirmation closeby UI,yes,accuracy,1-2,3-9,yes,text,large,peripersonal,static,grid,env,center,none,no,point,yes,yes,yes,8.361264,0.891157,purple
Espire 1: VR Operative,November 2019,"SteamVR, Oculus, PSVR",https://youtu.be/u6BJT_BlUUY?t=262,3. Grasp slightly distant items,no,equal,1-2,3-9,no,weapon,medium,extrapersonal,static,random,env,center,none,no,point,no,yes,yes,4.9404616,11.066978,brown
Espire 1: VR Operative,November 2019,"SteamVR, Oculus, PSVR",https://youtu.be/u6BJT_BlUUY?t=270,4. Store items on body by releasing them in a specific area near the body,no,speed,1-2,1-2,yes,body,large,on-body,static,grid,body,periphery,none,yes,manipulate,no,yes,no,-15.358555,-7.080198,pink
Espire 1: VR Operative,November 2019,"SteamVR, Oculus, PSVR",https://youtu.be/u6BJT_BlUUY?t=314,5. Select a turret to touch with a weapon to disable it,no,speed,1-2,1-2,yes,turret,large,peripersonal,both,random,env,both,minimal,yes,cross,no,no,yes,-25.583736,-18.554485,grey
Espire 1: VR Operative,November 2019,"SteamVR, Oculus, PSVR",https://youtu.be/u6BJT_BlUUY?t=288,6. Retrieve an item from on-body inventory,no,accuracy,1-2,3-9,yes,tool,medium,on-body,static,grid,body,periphery,heavy,yes,grasp,no,yes,no,1.1322606,-18.018822,orange
Espire 1: VR Operative,November 2019,"SteamVR, Oculus, PSVR",https://youtu.be/u6BJT_BlUUY?t=650,7. Select a target to aim at and shoot,no,equal,1-2,3-9,no,avatar,large,extrapersonal,both,random,env,both,heavy,yes,shoot,no,yes,yes,5.926275,20.4654,brown
Espire 1: VR Operative,November 2019,"SteamVR, Oculus, PSVR",https://youtu.be/u6BJT_BlUUY?t=715,8. Pull a switch,no,accuracy,1-2,1-2,yes,switch,medium,peripersonal,static,random,env,both,none,yes,manipulate,no,yes,yes,-22.826385,-0.8409433,pink
Espire 1: VR Operative,November 2019,"SteamVR, Oculus, PSVR",https://youtu.be/u6BJT_BlUUY?t=783,9. Select a button to press on a wall,no,accuracy,1-2,1-2,yes,button,medium,peripersonal,static,random,env,both,none,yes,push,no,yes,yes,-24.186739,11.441766,pink
Espire 1: VR Operative,November 2019,"SteamVR, Oculus, PSVR",https://youtu.be/u6BJT_BlUUY?si=YIOOkMcw___KVbgd&t=1534 ,10. Select a floating button to hover over on the left wrist,yes,accuracy,1-2,1-2,yes,button,small,on-body,moving,random,hand,periphery,none,yes,hover,yes,yes,no,-29.793636,-2.8296409,grey
Population: ONE,October 2020,"Oculus, Steam",https://youtu.be/A3ySZ8powiw?t=50,1. Select a weapon to pull out from a hand-anchored UI,yes,equal,3-9,3-9,yes,radial,medium,on-body,both,circular,hand,both,minimal,no,touch,yes,yes,no,-0.9440802,54.246464,yellow
Population: ONE,October 2020,"Oculus, Steam",https://youtu.be/A3ySZ8powiw?t=59,2. Select floating objects to grab (i.e. weapons),no,equal,1-2,3-9,yes,real-world object,medium,peripersonal,both,random,env,both,minimal,no,grasp,yes,yes,yes,-14.243371,-30.781223,orange
Population: ONE,October 2020,"Oculus, Steam",https://youtu.be/A3ySZ8powiw?t=117,3. Select a target to aim at and shoot,no,accuracy,1-2,3-9,yes,humanoid,large,extrapersonal,both,random,env,both,minimal,yes,shoot,no,yes,yes,6.6880426,22.341661,brown
Population: ONE,October 2020,"Oculus, Steam",https://youtu.be/hX2DI9fGbaY?t=41,4. Select from a UI at a distance,yes,accuracy,3-9,10-19,yes,text; icons,medium,peripersonal,static,grid,env,both,none,no,point,yes,yes,yes,13.786521,-10.201753,green
SUPERHOT VR,May 2017,"Oculus, SteamVR, PSVR, Viveport",https://youtu.be/QGKbGxBBDIw?t=280,1. Select game objects through grasping,no,speed,3-9,3-9,no,"objects such as bottle, glass, ashtray, etc.",medium,peripersonal,static,random,env,center,minimal,yes,grasp,yes,yes,yes,16.208443,-34.913277,cyan
SUPERHOT VR,May 2017,"Oculus, SteamVR, PSVR, Viveport",https://youtu.be/QGKbGxBBDIw?t=308,2. Select target enemies to aim at and shoot,no,equal,3-9,3-9,no,humanoid,large,extrapersonal,both,random,env,center,heavy,yes,shoot,no,yes,yes,36.052864,10.024708,brown
SUPERHOT VR,May 2017,"Oculus, SteamVR, PSVR, Viveport",https://youtu.be/QGKbGxBBDIw?si=4Dxr8BwZ_r7_cmsy&t=282 ,3. Select objects to throw towards selected targets,no,equal,1-2,3-9,no,humanoid,large,extrapersonal,both,random,env,both,minimal,yes,throw,yes,yes,yes,5.3816795,24.147541,brown
SUPERHOT VR,May 2017,"Oculus, SteamVR, PSVR, Viveport",https://youtu.be/QGKbGxBBDIw?si=lZmEy4ZKMeiI5d5r&t=725 ,4. Select enemies through crossing using a knife,no,speed,1-2,3-9,no,humanoid,large,peripersonal,both,random,env,both,minimal,yes,cross,no,yes,yes,-16.32286,-29.517332,orange
SUPERHOT VR,May 2017,"Oculus, SteamVR, PSVR, Viveport",https://youtu.be/QGKbGxBBDIw?si=_QMQ-T-RAkh5bhH0&t=49 ,5. Select an area on the enemy to land a punch ,no,speed,1-2,1-2,no,humanoid,large,peripersonal,both,random,env,center,minimal,yes,push,no,yes,yes,-26.158045,15.273196,pink
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=116,1. Directly grab objects in environment,no,equal,3-9,10-19,no,can,small,peripersonal,static,random,env,both,minimal,yes,grasp,no,yes,yes,7.995035,-37.412354,cyan
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=382,2. Press a physical button in environment,no,accuracy,3-9,3-9,yes,button,small,peripersonal,static,grid,env,both,none,yes,push,no,yes,yes,16.78905,-14.976641,green
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=466,3. Select a door handle to grab and push to open the door,no,accuracy,1-2,1-2,yes,handle,small,peripersonal,static,random,env,both,none,yes,manipulate,no,yes,yes,-23.342117,-1.8324919,pink
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=648,4. Hold a triger button while pointing over an area to move through a tight space,no,accuracy,1-2,1-2,yes,area,large,peripersonal,static,random,env,center,none,no,hover,yes,yes,yes,-21.69424,-8.302723,grey
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=1143,5. Hold both hands in respective areas to select gloves,no,accuracy,1-2,1-2,yes,tube,medium,peripersonal,static,random,env,periphery,minimal,yes,hover,no,no,yes,-22.258686,-6.232454,grey
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=1191,6. Select items to acquire from a far distance,no,equal,3-9,10-19,no,box,medium,extrapersonal,static,random,env,both,minimal,yes,point,yes,yes,yes,30.049955,4.4360514,green
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=1255,7. Select an object in the air to catch,no,speed,1-2,1-2,yes,weapon,small,peripersonal,moving,random,env,both,none,yes,catch,no,yes,no,-27.573193,-15.774222,grey
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=1257,8. Push an ammo mag into a selected whole in the gun,no,speed,1-2,1-2,yes,gun chamber,small,on-body,moving,random,hand,both,none,yes,manipulate,no,yes,no,-27.898129,2.6645021,pink
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=1444,9. Switch a tool through menu that pops up in air,yes,equal,1-2,3-9,yes,icon,medium,peripersonal,static,grid,env,both,minimal,no,touch,yes,yes,no,-3.7374125,48.34022,yellow
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=1469,10. Rotate a cable on the wall ,no,accuracy,1-2,1-2,yes,wire,medium,peripersonal,static,grid,env,center,heavy,yes,hover,yes,yes,yes,-12.580477,-11.014314,grey
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=1488,11. Select an area or surface to place and hold the user's hand to replenish health,no,accuracy,1-2,1-2,yes,screen,large,peripersonal,static,random,env,periphery,minimal,yes,hover,yes,yes,yes,-21.610113,-7.195956,grey
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=1666,12. Select targets or enemies to aim at and shoot,no,equal,3-9,3-9,no,avatar,large,extrapersonal,both,random,env,center,heavy,yes,shoot,no,no,yes,36.242542,9.8604765,brown
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=2071,13. Store an item in on-hand inventory,yes,speed,1-2,1-2,yes,slot,medium,on-body,moving,random,hand,periphery,heavy,yes,manipulate,yes,yes,no,-27.559067,4.0804014,pink
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=2221,14. Select a ladder bar or surface to grasp to climb,no,accuracy,3-9,3-9,no,bar,large,peripersonal,static,grid,env,both,minimal,yes,grasp,no,yes,yes,12.072795,-26.050642,blue
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=18316,15. Select a target to throw an object towards (i.e. grenade),no,accuracy,1-2,3-9,no,avatar,large,extrapersonal,moving,random,env,both,heavy,yes,throw,no,no,yes,2.5521743,23.54456,brown
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/ZX-03yBcm3k?t=7152,16. Point to a piece of the puzzle in the mini globe to select it,yes,accuracy,3-9,3-9,no,icon,tiny,on-body,both,random,hand,both,minimal,yes,point,yes,yes,no,26.881838,-11.281755,green
Half-life: Alyx,March 2020,SteamVR,https://youtu.be/UmpFzk3ZyOA?t=29,17. Select rom a close by UI,yes,accuracy,10-19,20+,yes,text,medium,peripersonal,static,grid,env,center,none,no,point,yes,yes,no,11.259045,-5.6482015,purple
STAR WARS: Squadrons,October 2020,"SteamVR, PSVR",https://youtu.be/yYMx_yi_OP4?t=168 ,"1. Select a target to follow with spaceship or area to go to that is targetted, usually tracked with a highlight",no,accuracy,1-2,1-2,yes,spaceships of different sizes,medium,extrapersonal,moving,random,env,both,minimal,yes,point,yes,yes,yes,-14.796061,7.020434,pink
STAR WARS: Squadrons,October 2020,"SteamVR, PSVR",https://youtu.be/yYMx_yi_OP4?t=303 ,2. Select a target object or area to aim at and shoot with different types of missiles or projectiles ,no,equal,1-2,3-9,yes,"large spaceship, and other different sized spaceships ",large,extrapersonal,static,random,env,center,minimal,yes,shoot,yes,yes,yes,2.316422,20.858643,brown
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?si=Dze5MmFzyxm44gc3&t=134,1. Point and click to select objects at a distance,no,equal,3-9,3-9,no,various,medium,extrapersonal,both,random,env,both,minimal,yes,point,no,yes,yes,34.4942,6.723193,brown
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=690,2. Directly grasp nearby objects,no,equal,3-9,10-19,no,various,medium,peripersonal,static,random,env,both,minimal,yes,grasp,no,yes,yes,8.981077,-37.384735,cyan
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=161,3. Select a different state by pulling a lever,no,accuracy,1-2,1-2,yes,lever,medium,peripersonal,static,random,env,both,none,yes,manipulate,no,yes,no,-22.50893,0.15962106,pink
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=1727,4. Select a 3D button to press,no,accuracy,3-9,3-9,yes,button,small,peripersonal,static,grid,env,both,none,yes,push,no,yes,yes,16.789104,-14.97701,green
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=2158,5. Select an area or target to throw an object towards ,no,equal,1-2,3-9,no,area,large,extrapersonal,static,random,env,both,heavy,yes,throw,no,no,yes,2.0053205,23.944565,brown
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=374,6. Pull a door handle to open the door,no,accuracy,1-2,1-2,yes,handle,small,peripersonal,static,random,env,periphery,minimal,yes,manipulate,no,yes,yes,-24.383373,-4.3186035,pink
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=724,7. Punch/push an object or an avatar,no,speed,1-2,3-9,no,avatar,large,peripersonal,both,random,env,both,heavy,yes,push,no,yes,yes,1.2067093,14.74453,brown
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=845,8. Select a glass to destroy with a hammer,no,equal,3-9,3-9,no,glass,large,peripersonal,static,random,env,both,none,yes,cross,no,yes,yes,16.682938,-36.21262,cyan
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=1277,10. Store gun in the holster on left hip,no,accuracy,1-2,3-9,yes,slot,medium,on-body,static,circular,body,periphery,heavy,yes,manipulate,no,yes,no,1.2458149,-17.771322,purple
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=1287,11. Select a weapon to retrieve from on-body inventory,no,equal,3-9,3-9,yes,gun,medium,on-body,static,circular,body,periphery,heavy,yes,grasp,no,yes,no,6.6697226,-20.600288,blue
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=1368,12. Select an area to push an item to to unlock the barrier to another,no,accuracy,3-9,3-9,yes,slot,small,peripersonal,static,grid,env,both,none,yes,manipulate,no,yes,yes,14.463488,-18.40683,green
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=1416,13. Insert an ammo mag into a selected whole in a gun,no,accuracy,1-2,1-2,yes,gun,small,on-body,moving,random,hand,both,minimal,yes,manipulate,no,yes,no,-28.151987,-0.13107553,pink
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=1419,13. Select targets to aim at at a distance and shoot,no,equal,3-9,10-19,no,avatar,large,extrapersonal,both,random,env,center,heavy,yes,shoot,no,yes,yes,36.878555,8.439504,brown
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=1559,14. Select an enemy to attack with a sword,no,equal,3-9,3-9,no,avatar,large,extrapersonal,moving,random,env,both,minimal,yes,cross,no,yes,yes,17.701382,-36.35898,cyan
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/KQJzGzuMNOM?t=212,15. Interact with a circular pop-up UI,yes,accuracy,3-9,3-9,yes,text,small,peripersonal,static,grid,env,center,none,no,point,yes,yes,no,20.18705,-11.370203,green
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/KQJzGzuMNOM?t=247,16. Interact with a env-referenced UI,yes,accuracy,3-9,10-19,yes,text,large,extrapersonal,static,grid,env,center,none,no,point,yes,yes,yes,22.449154,5.4385405,green
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=2024,16. Put on a helmet,no,accuracy,1-2,1-2,yes,head,medium,on-body,static,random,head,center,none,yes,manipulate,yes,yes,no,-31.511078,0.37489793,pink
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/Kij1QXtWZvE?t=18748,17. Select objects with a gravity gun,no,accuracy,3-9,3-9,no,various,small,extrapersonal,static,random,env,both,heavy,yes,point,no,yes,yes,32.27436,0.6753584,green
BONEWORKS,December 2019,Steam; Oculus,https://youtu.be/KQJzGzuMNOM?t=102,18. Select an item to carry by storing them in the back of the user,no,speed,1-2,1-2,yes,slot,large,on-body,static,random,body,center,none,yes,touch,no,yes,no,-16.750446,36.78736,red
Zenith: The Last City,December 2021,"SteamVR, Oculus, PSVR",https://youtu.be/4EAuWQqanPM?t=162,1. Select a target or enemy to aim at and shoot,no,accuracy,1-2,3-9,yes,various,medium,extrapersonal,both,random,env,both,minimal,yes,shoot,no,yes,yes,7.323353,22.172356,brown
Zenith: The Last City,December 2021,"SteamVR, Oculus, PSVR",https://youtu.be/4EAuWQqanPM?t=168,2. Select from map UI at a distance,yes,accuracy,3-9,10-19,yes,icons,small,extrapersonal,static,random,env,both,minimal,no,point,yes,yes,yes,27.529285,4.278443,green
Zenith: The Last City,December 2021,"SteamVR, Oculus, PSVR",https://youtu.be/sq7G8VP-kzE?t=305,3. Select objects from a distance,no,equal,3-9,3-9,yes,various,medium,extrapersonal,static,random,env,both,minimal,no,grasp,yes,yes,yes,17.408865,-34.33645,cyan
Zenith: The Last City,December 2021,"SteamVR, Oculus, PSVR",https://youtu.be/sq7G8VP-kzE?t=389,4. Select an item from a UI inventory,yes,equal,3-9,10-19,yes,rectangle,small,extrapersonal,static,grid,env,both,minimal,no,point,yes,yes,yes,24.515705,2.0441408,green
Zenith: The Last City,December 2021,"SteamVR, Oculus, PSVR",https://youtu.be/sq7G8VP-kzE?si=03z809Nz1FPa7o6L&t=111 ,5. Select targets or enemies to chop,no,accuracy,1-2,3-9,yes,various,medium,peripersonal,both,random,env,both,minimal,yes,cross,no,yes,yes,-14.895211,-30.18426,orange
X-Plane 11,March 2017,SteamVR,https://youtu.be/C6mhb4MY4ZQ?t=167,1. Select from a UI at a distance,yes,speed,10-19,10-19,yes,2D buttons with text,medium,extrapersonal,static,grid,env,center,none,no,point,no,yes,no,17.855747,7.687453,purple
X-Plane 11,March 2017,SteamVR,https://youtu.be/C6mhb4MY4ZQ?t=195,2. Grasp the door handle,no,accuracy,1-2,1-2,yes,door handle,medium,peripersonal,static,random,env,both,none,yes,point,yes,yes,no,-22.011694,1.3863828,pink
X-Plane 11,March 2017,SteamVR,https://youtu.be/EFQBnqrkeks?t=268,4.Interact with a UI to change its size/placement,yes,speed,3-9,3-9,no,UI panel,medium,peripersonal,static,grid,env,both,none,no,point,yes,yes,no,20.231153,-13.525098,green
X-Plane 11,March 2017,SteamVR,https://youtu.be/EFQBnqrkeks?t=364,"5. highlight then select through pointing some cockpit handles, buttons, switches, and other pannel components ",no,equal,10-19,10-19,yes,buttons and handles in a cockpit,small,peripersonal,static,grid,env,center,minimal,yes,point,yes,yes,no,8.100549,-8.950737,purple
X-Plane 11,March 2017,SteamVR,https://youtu.be/gQ2DTepz40w?t=163,6. Rotate a button to select another value/or induce a change in altitude or such,no,speed,3-9,3-9,yes,handles and rotateable buttons,small,peripersonal,static,grid,env,center,minimal,yes,manipulate,yes,yes,no,12.998135,-21.342773,blue
X-Plane 11,March 2017,SteamVR,https://youtu.be/gQ2DTepz40w?t=148,7. Selecting through touch from a monitor UI in the cockpit,yes,accuracy,3-9,10-19,yes,a monitor with buttons on it,medium,peripersonal,static,grid,env,center,none,yes,touch,yes,yes,no,-1.6079865,50.632057,yellow
Surgeon Simulator VR: Meet The Medic,April 2016,SteamVR,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=108 ,1. Select objects from the VE using grasp directly with hands,no,accuracy,3-9,10-19,yes,"various surgical instruments and tools, electronic equipment, hammer, etc.",small,peripersonal,static,list,env,both,none,yes,grasp,no,yes,yes,6.5399733,-33.120506,cyan
Surgeon Simulator VR: Meet The Medic,April 2016,SteamVR,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=540 ,2. Push the selected drawer handle,no,accuracy,3-9,3-9,yes,stacked shelves,medium,peripersonal,static,list,env,center,none,yes,push,no,yes,yes,18.560438,-15.56273,green
Surgeon Simulator VR: Meet The Medic,April 2016,SteamVR,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=68 ,3. Select an area or target to throw an object at or towards,no,accuracy,3-9,3-9,no,"area in front of the user, trash bin, other objects",medium,extrapersonal,static,random,env,center,none,yes,throw,no,yes,yes,36.335274,13.244311,brown
Surgeon Simulator VR: Meet The Medic,April 2016,SteamVR,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=307 ,"4. Select from a UI, menu notepad 2D UI for example ",yes,accuracy,3-9,3-9,yes,"text, icons, flat UI buttons, images, etc",small,peripersonal,static,grid,env,center,none,yes,touch,no,yes,yes,1.1452823,49.363953,yellow
Surgeon Simulator VR: Meet The Medic,April 2016,SteamVR,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=1637 ,"5. Select parts of the avatar to destroy, cut or move using cross selection, for example with a surgical knife cut a path through organs, or with a hammer destroy bones, etc.",no,accuracy,1-2,3-9,yes,organs and parts of the human patient avatar,medium,peripersonal,static,random,env,center,minimal,yes,cross,no,yes,yes,-11.832667,-26.428879,orange
Surgeon Simulator VR: Meet The Medic,April 2016,SteamVR,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=196 ,"6. Selecting locks to open, for example a container or case locks",no,accuracy,1-2,1-2,yes,locks,tiny,peripersonal,static,random,env,center,none,yes,touch,no,yes,yes,-11.279079,40.8755,red
Surgeon Simulator VR: Meet The Medic,April 2016,SteamVR,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=242 ,"7. Select buttons to press or switches to push, for example to turn on or off a display screen",no,accuracy,3-9,3-9,yes,"buttons, screen display control buttons, surgical machinery and tools buttons, etc.",small,peripersonal,static,random,env,both,none,yes,push,no,yes,yes,19.63639,-17.25079,green
Surgeon Simulator VR: Meet The Medic,April 2016,SteamVR,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=980 ,8. Hover over a part of the body with an electrical surgical saw to cut/destroy selected avatar parts or areas,no,accuracy,10-19,10-19,yes,bones/parts of the avatar surgery patient body,medium,peripersonal,static,grid,env,center,none,yes,hover,no,yes,yes,-4.3865185,-11.506331,grey
Surgeon Simulator VR: Meet The Medic,April 2016,SteamVR,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=1817 ,9. Open a portal through rotating a wheel,no,equal,1-2,1-2,yes,rotating wheel,small,peripersonal,static,random,env,both,none,yes,manipulate,no,no,yes,-24.195341,-1.4698758,pink
Surgeon Simulator VR: Meet The Medic,April 2016,SteamVR,https://www.youtube.com/live/z4PNN46_AvY?feature=share&t=1947 ,10 Select a handle or switch to push down or up to control gravity ,no,equal,1-2,1-2,yes,switch/handle on the wall,small,peripersonal,static,random,env,periphery,none,yes,push,no,yes,yes,-21.573488,11.8739395,pink
Horizon Worlds,December 2021,Oculus,https://youtu.be/g6Ni5S56lec?t=32,1. Selection from environment-referenced flat UI,yes,equal,10-19,20+,yes,rectangle,small,extrapersonal,static,grid,env,center,none,no,point,yes,yes,no,17.803957,2.51814,purple
Horizon Worlds,December 2021,Oculus,https://youtu.be/bk1dSZAsuYU?si=fTBimeN3lhxXUT5-&t=31,2. Touch a flat button on left hand to open menu,yes,accuracy,1-2,1-2,yes,icon,tiny,on-body,moving,random,hand,both,none,yes,touch,yes,yes,no,-13.616082,44.5529,red
Horizon Worlds,December 2021,Oculus,https://youtu.be/g6Ni5S56lec?t=73,3. Select a simple button with a ray,yes,equal,1-2,1-2,yes,rectangle,small,extrapersonal,static,grid,env,center,none,no,point,yes,yes,yes,12.649275,3.3450973,purple
Horizon Worlds,December 2021,Oculus,https://youtu.be/bk1dSZAsuYU?si=BMK6KoSvrB4N-_rf&t=284,4. Point to a UI attached to left hand,yes,accuracy,3-9,3-9,yes,icon,tiny,on-body,moving,grid,hand,both,none,no,point,yes,yes,no,23.026468,-6.3182592,green
Horizon Worlds,December 2021,Oculus,https://youtu.be/g6Ni5S56lec?t=116,5. Grasp an object in a group of objects,no,equal,3-9,3-9,yes,various,medium,peripersonal,static,random,env,both,minimal,no,grasp,no,yes,yes,14.924142,-34.684254,cyan
Horizon Worlds,December 2021,Oculus,https://youtu.be/g6Ni5S56lec?t=212,6. Press a button in the front,no,equal,1-2,1-2,yes,circular,medium,peripersonal,static,random,env,both,minimal,no,push,no,yes,yes,-26.278124,11.807641,pink
Horizon Worlds,December 2021,Oculus,https://youtu.be/g6Ni5S56lec?t=285,7. FPS Shooting,no,accuracy,1-2,3-9,yes,humanoid,small,extrapersonal,both,random,env,both,heavy,yes,shoot,no,yes,yes,7.983981,21.885773,brown
Horizon Worlds,December 2021,Oculus,https://youtu.be/g6Ni5S56lec?t=411,8. Point to an object to select it with a rod,no,accuracy,3-9,10-19,yes,various,small,extrapersonal,both,random,env,both,minimal,yes,point,no,yes,no,28.492077,6.7360873,green
Horizon Worlds,December 2021,Oculus,https://youtu.be/-QNgXzdQji0?si=YGdW9pVALnt2Rx8x&t=92,9. Wear a hat by placing it over the users head,no,accuracy,1-2,1-2,yes,head,large,on-body,static,random,head,center,none,yes,touch,yes,yes,no,-17.361639,45.41821,red
Pavlov VR,February 2017,"SteamVR, PSVR",https://youtu.be/-36W0fOWJBM?t=417 ,"1. Press buttons on a keypad, to defuse an explosive, near elevator, etc.",no,accuracy,10-19,10-19,yes,"various buttons, numerical buttons, special character buttons, etc.",small,peripersonal,static,grid,env,center,none,yes,push,no,yes,yes,7.6889052,-3.828949,purple
Pavlov VR,February 2017,"SteamVR, PSVR",https://youtu.be/-36W0fOWJBM?t=63 ,"2. Push an ammo container/pack to push into a whole in a weapons, or select a  lid or part of  a weapon to push to either insert a bullet or remove a bullet for example ",no,accuracy,1-2,1-2,yes,"bullet/ammo, ammo container placeholder on a weapon, etc.",small,peripersonal,static,random,env,center,none,yes,push,no,yes,no,-21.369667,10.616015,pink
Pavlov VR,February 2017,"SteamVR, PSVR",https://youtu.be/-36W0fOWJBM?t=78 ,3. Select with a bullet an area/bullet whole spot to touch and the bullet gets inserted,no,equal,3-9,3-9,no,bullet holes in a revolver,tiny,peripersonal,static,circular,env,center,none,yes,touch,no,yes,no,3.169822,51.75887,yellow
Pavlov VR,February 2017,"SteamVR, PSVR",https://youtu.be/-36W0fOWJBM?t=187 ,4. Select objects from the VE through grasping them directly,no,accuracy,3-9,3-9,yes,"various objects, weapons, etc.",medium,peripersonal,static,random,env,center,minimal,yes,grasp,yes,yes,yes,15.639416,-32.422127,cyan
Pavlov VR,February 2017,"SteamVR, PSVR",https://youtu.be/-36W0fOWJBM?t=98 ,5. Select an area or target to throw an object at or towards,no,accuracy,1-2,1-2,no,various areas and objects can be aimed at,large,extrapersonal,both,random,env,center,minimal,yes,throw,no,yes,yes,-16.046827,31.001228,red
Pavlov VR,February 2017,"SteamVR, PSVR",https://youtu.be/-36W0fOWJBM?t=123 ,6. Select a target or area to aim towards/at to shoot,no,equal,1-2,3-9,no,various zombie enemies and monsters,large,extrapersonal,moving,random,env,both,minimal,yes,shoot,no,yes,yes,4.038839,22.81711,brown
